iter	Passed	Remaining
731	5837	10111
732	5845	10103
733	5852	10093
734	5859	10084
735	5865	10074
736	5873	10065
737	5880	10055
738	5887	10045
739	5894	10035
740	5901	10026
741	5909	10018
742	5917	10010
743	5926	10004
744	5936	9999
745	5944	9992
746	5951	9983
747	5959	9975
748	5966	9965
749	5973	9955
750	5981	9947
751	5988	9938
752	5995	9929
753	6004	9922
754	6011	9913
755	6018	9903
756	6026	9895
757	6035	9889
758	6043	9881
759	6050	9872
760	6059	9864
761	6066	9856
762	6074	9847
763	6081	9839
764	6088	9828
765	6094	9818
766	6101	9808
767	6108	9799
768	6116	9791
769	6125	9784
770	6134	9779
771	6144	9773
772	6151	9764
773	6160	9757
774	6168	9750
775	6178	9745
776	6188	9741
777	6198	9736
778	6206	9728
779	6215	9721
780	6222	9712
781	6229	9702
782	6236	9693
783	6243	9683
784	6250	9674
785	6257	9665
786	6264	9655
787	6271	9646
788	6279	9638
789	6285	9627
790	6293	9619
791	6301	9611
792	6310	9604
793	6320	9599
794	6328	9591
795	6335	9583
796	6344	9576
797	6351	9567
798	6359	9559
799	6367	9550
800	6375	9543
801	6383	9535
802	6391	9527
803	6399	9519
804	6407	9511
805	6415	9503
806	6423	9495
807	6431	9487
808	6438	9478
809	6445	9469
810	6452	9460
811	6459	9451
812	6466	9441
813	6473	9432
814	6481	9424
815	6489	9415
816	6497	9408
817	6506	9402
818	6516	9396
819	6526	9392
820	6533	9382
821	6542	9376
822	6551	9369
823	6558	9360
824	6567	9353
825	6576	9347
826	6584	9339
827	6592	9332
828	6601	9325
829	6611	9319
830	6619	9312
831	6626	9302
832	6633	9293
833	6640	9284
834	6647	9274
835	6654	9265
836	6661	9256
837	6670	9249
838	6677	9240
839	6685	9231
840	6692	9222
841	6699	9213
842	6706	9204
843	6713	9194
844	6719	9185
845	6727	9177
846	6735	9169
847	6742	9159
848	6751	9153
849	6759	9145
850	6767	9137
851	6775	9129
852	6782	9120
853	6791	9113
854	6800	9107
855	6810	9102
856	6819	9095
857	6826	9086
858	6835	9079
859	6844	9072
860	6852	9064
861	6859	9056
862	6867	9048
863	6874	9038
864	6882	9030
865	6890	9022
866	6898	9014
867	6905	9006
868	6913	8997
869	6920	8989
870	6929	8982
871	6938	8975
872	6945	8966
873	6954	8959
874	6963	8952
875	6970	8944
876	6978	8936
877	6988	8930
878	6996	8922
879	7005	8915
880	7014	8909
881	7022	8901
882	7032	8895
883	7040	8887
884	7049	8881
885	7059	8875
886	7067	8868
887	7075	8860
888	7082	8851
889	7089	8842
890	7097	8833
891	7104	8825
892	7112	8816
893	7119	8807
894	7126	8798
895	7134	8790
896	7141	8781
897	7149	8773
898	7158	8766
899	7166	8759
900	7174	8751
